"work_year","job_title","job_category","salary_currency","salary","salary_in_usd","employee_residence","experience_level","employment_type","work_setting","company_location","company_size"
"2023","Data Analyst","Data Analysis","USD","120000","120000","United Kingdom","Senior","Full-time","In-person","United Kingdom","M"
"2023","Data Analyst","Data Analysis","USD","85000","85000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Analyst","Data Analysis","USD","80000","80000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Scientist","Data Science and Research","USD","24000","24000","United States","Entry-level","Full-time","Remote","United States","M"
"2023","Machine Learning Infrastructure Engineer","Machine Learning and AI","USD","165400","165400","United Kingdom","Senior","Full-time","In-person","United Kingdom","M"
"2023","Machine Learning Infrastructure Engineer","Machine Learning and AI","USD","127300","127300","United Kingdom","Senior","Full-time","In-person","United Kingdom","M"
"2023","Applied Scientist","Data Science and Research","USD","260000","260000","United States","Senior","Full-time","In-person","United States","L"
"2023","Applied Scientist","Data Science and Research","USD","136000","136000","United States","Senior","Full-time","In-person","United States","L"
"2023","Business Intelligence Engineer","BI and Visualization","USD","259000","259000","United States","Senior","Full-time","In-person","United States","M"
"2023","Business Intelligence Engineer","BI and Visualization","USD","138750","138750","United States","Senior","Full-time","In-person","United States","M"
"2023","Decision Scientist","Data Science and Research","USD","185900","185900","United States","Senior","Full-time","In-person","United States","M"
"2023","Decision Scientist","Data Science and Research","USD","129300","129300","United States","Senior","Full-time","In-person","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","USD","273400","273400","United States","Senior","Full-time","In-person","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","USD","182200","182200","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","192000","192000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Scientist","Data Science and Research","USD","178000","178000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Scientist","Data Science and Research","USD","218000","218000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Scientist","Data Science and Research","USD","85000","85000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Specialist","Data Management and Strategy","USD","132000","132000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Specialist","Data Management and Strategy","USD","71500","71500","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","252000","252000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","129000","129000","United States","Senior","Full-time","In-person","United States","M"
"2023","Analytics Engineer","Leadership and Management","USD","215050","215050","United States","Senior","Full-time","In-person","United States","M"
